Putative_species,Original_order,Accession,Style_length,Stamen_length,Flower_length,Flower_width,Pedicel_length,Tooth_length,Tooth_width,Sinus_depth,Leaf_width,Leaf_length,Free_stipule_length,Petiole_hair_length,Laminar_hairs,Viscid,Pendent_fls,Calciphile,Bloom_date,Axis_3,Notes
missouriensis,89,Mohlenbrock_1650_SIU,0.97,0.96,1.76,0.98,3.34,3.88,8.5,6.09,5.9,4.2,1.88,1.73,0.65,1,0,0,10/24/52,0.76413,
missouriensis,90,Ott_P-679_SIU,1.06,1.17,1.62,1.31,4.64,3.02,6.25,7.52,8.9,5.1,1.25,1.12,0.46,1,0,0,8/19/67,1.3991,
missouriensis,91,Sands_511_SIU,0.99,1.29,1.98,1.48,3.98,1.72,4.54,4.95,7.6,6.2,1.37,1.29,0.48,1,0,0,11/8/58,-0.15921,
missouriensis,92,Bailey_279_SIU,0.88,1.17,2.22,1.6,5.97,3.34,4.19,7.49,9,5.3,3.18,1.28,0.81,1,0,0,10/29/47,-0.59665,
missouriensis,93,Bailey_1553_SIU,0.87,1.07,1.47,1.45,4.05,2.44,7.05,4.85,14.3,9.4,1.5,1.9,0.75,1,0,0,7/15/51,0.61986,
missouriensis,94,Athey_2969_SIU,1.02,1.51,1.65,1.04,4.73,1.96,4.56,5.03,8.9,6.1,1.3,1.08,0.31,1,0,0,10/2/74,1.8661,
missouriensis,95,McCree_947_SIU,1.23,0.94,1.87,1.48,4.05,2.67,6.15,5.81,9.3,6,2.62,1.3,0.29,1,0,0,7/23/41,-0.047473,
missouriensis,96,Ott_s.n._SIU,0.9,0.99,1.97,1.25,3.99,4.94,8.86,10.12,14,9,2.4,1.77,0.29,1,0,0,8/19/67,0.84077,
missouriensis,97,Wilson_1534_SIU,0.9,1.25,1.55,1.34,3.81,3.1,6.66,5.14,12.4,7.1,1.78,1.32,0.34,1,0,0,8/3/73,1.3145,
missouriensis,98,McCree_457,1.13,1.1,1.78,1.39,3.85,3.56,4.04,5.91,5.7,3.9,1.62,1.26,0.55,1,0,0,Unknown,-0.8137,
missouriensis,99,French_s.n._Makanda_SIU_120145,0.75,1.06,2.16,1.43,3.77,3.31,6.27,5.55,11.8,9.5,1.87,1.65,0.32,1,0,0,Unknown,-0.25298,
missouriensis,100,French_s.n._Makanda_SIU_120148,1.07,1.07,2.2,1.36,4.87,3.26,8.46,2.82,11.1,7.2,1.32,0.9,0.79,1,0,0,Unknown,0.87807,
missouriensis,101,French_s.n._Makanda_SIU_120147,1.02,0.84,2.02,1.68,4.53,5.08,9.2,9.23,15.2,9,2.96,1.8,0.81,1,0,0,Unknown,-0.43618,
missouriensis,102,French_s.n._Makanda_SIU_120150,1.04,0.8,2.22,1.29,3.05,4.17,5.5,4.18,7.9,4.5,1.35,1.12,0.74,1,0,0,Unknown,0.087355,
